userName,score,at,content
Atheera Dzahra,2,2026-05-05 02:03:45,"gabisa dibuka karna ada tulisan (muat ulang lebih lama, coba periksa jaringan anda) padahal jaringan bagus"
Habi Qurrohim,1,2026-05-04 22:58:32,"ga bisa dibuka alasan nya kami tidak dapat terhubung ke internet padahal sinyal bagus, udah dihapus download lagi Sampek sekarang belum bisa rusak ini aplikasi ga jelas"
RAZIQ ARDHANI,5,2026-05-04 22:21:17,bagus bermanfaat
Dina Rahayu,5,2026-05-04 21:03:43,Good
Jhon beni Pigome,5,2026-05-04 16:05:06,bagus
teguh ginanjar,1,2026-05-04 15:49:56,JANGAN INSTAL APLIKASI INI !! kacau tiba2 dana terpotong otomatis tanpa konfirmasi terlebih dahulu.
Rico EP,3,2026-05-04 14:55:26,"coba benerin napa gw pengen masuk jaringan jelek jelek mulu, padahal jaringan saya bagus, pakai wifi aja ga bisa masuk masalah nya jaringan mulu apalah coba dev nya benerin dulu ini apa coba ga bisa masuk ke apk canva nya"
Fitri NURKOWIATUL,1,2026-05-04 14:46:54,gak bisa di buka
SARAH NISA Nisa,5,2026-05-04 14:28:44,"baguss, soalnya aku pke akun belajar jdi gratiss makasihh minn🤩🤩"
Anna Tifa,5,2026-05-04 14:27:56,lumayan buat nambah desain apa lagi untuk orang yang jualan foto but maaf typo
Alika Al_zhara,5,2026-05-04 13:59:30,ngedit foto jadi lebih mudah
nas Ip,5,2026-05-04 13:45:31,🥰🥰🥰
dedek Prayoga,1,2026-05-04 13:18:14,GK bisa masuk
Vanz Off thel,5,2026-05-04 13:13:52,bagussss
User Nano,2,2026-05-04 13:11:46,tolong perbaiki bug nya donggg saya mau nulis naskah dikit dikit nyambung ke taks lain mau ganti paragraf malah ke habus yang atas emang puqi
Muhamad Fadlan maruf,1,2026-05-04 13:02:37,"lag, padahal jaringan aman"
Cristanti Livia,1,2026-05-04 12:22:33,"Canva ini kenapa ya? Jaringan lancar, tapi ketika bukak aplikasi loading lama bahkan ada tulisan nya tidak bisa membuka/hubungkan ke jaringan dsb. Sekali lagi, jaringan saya pas lagi oke pun Canva tetap begitu. TOLONG DIBENAHI"
mirna ati,5,2026-05-04 12:06:37,sangat membantu
Rafli Abdan,5,2026-05-04 11:53:43,apk nya keren bgt
gg gg,5,2026-05-04 11:38:00,bagus
Abdul Kasim,5,2026-05-04 10:46:15,bagus
Renaldi pati Nggumbe,5,2026-05-04 07:03:35,keren banget
isa muhammad,4,2026-05-04 03:31:09,bagus
Miko Jatmiko,1,2026-05-04 03:00:46,Ribet.. Auto Uninstal... Bintang 1 wkwkwkckck
Fatimah Zizahturrahma,5,2026-05-04 02:32:40,cantikkk
AL_BARRA_ABI,5,2026-05-03 18:53:35,Nice
Agriela Kasih,1,2026-05-03 14:16:49,"makin lama,makin jelek sekali aplikasinya, mau nambahin teks aja kehapus sendiri,kecewa bgt,,bagusan ibis paint,,,uuuu jelek canva"
Indigo Tl,5,2026-05-03 13:33:19,jika di tanya apa mines nya dari apk ini cuman 1 gak bisa offline Makai nya
Incu olot 99,5,2026-05-03 13:11:40,sangat bermangpaay
Herry Wiedo,5,2026-05-03 12:49:36,bagus
Muhammad Alzam Baihaqi,5,2026-05-03 12:48:41,bagus.
Maistarla wang,1,2026-05-03 12:44:21,susah menyimpan editan bentuk video
Abisha Maulana,3,2026-05-03 12:14:37,Kebanyakan ikon premium kamu bro. bisa nggak itu event premium dimatiin atau kasih gratis ke pengguna
Feisya Shakayla,1,2026-05-03 12:08:06,gk bisa masuk ke aplikasinya. tolong di upgrade kok bisa sih gk bisa masuk ke aplikasinya. padahal lagi butuh banget
Ainun Faridah,5,2026-05-03 11:05:19,sangat bagus
namina pcy,2,2026-05-03 10:50:59,download susah gw kena hack
Ziz Jak,5,2026-05-03 10:08:47,canva lebih praktis yuk download canva hanya ada di play store dan app store
ATTA _HUNTER,1,2026-05-03 09:58:30,apa apa harus beli premium padahal cuma mau cari lambang garuda yang harusnya enggak boleh di perjualbelikan
Christian,5,2026-05-03 08:26:11,sangat bermanfaat aplikasi ini
Abizar 5a,5,2026-05-03 06:41:45,mantap
Dendra Triaga,1,2026-05-03 06:33:56,tidak direkomendasikan
Meydi Suryanto,1,2026-05-03 06:26:58,lemot bgt gbs dibuka
Morgan Free man,5,2026-05-03 06:10:14,baik
Wahyudin Wahyudin,5,2026-05-03 04:49:13,canva sangat bagus
Aris Saputra,1,2026-05-03 04:46:15,capcut gw kok gunain template nya gk bisa letakan video nya
Catur Kristanto,1,2026-05-03 04:27:12,jelek
Irsyadi Rasyid,4,2026-05-03 04:05:28,"benerin yang versi aplikasi, saya barusan ada kendala saat download ada elemen yang hilang /tidak terbaca. lalu saya coba di canva web lancar dan elemennya terbaca"
Reino,1,2026-05-03 03:54:30,ga dapet terhubung
Rika Salsabila,1,2026-05-03 02:33:50,Sangat sering loading meskipun jaringan bagus
Chernila Aprimus,2,2026-05-03 02:14:11,"Aneh bangett sih canva sekarang, pasti mau nambahin foto png malah rusak ini itu lah perasaan kemarin-kemarin engga ada kayak begini, ganggu banget sumpah."
Muhammad Haszairyn,5,2026-05-03 02:03:22,bagus banget
Yusuf Yafiq,1,2026-05-02 22:17:57,ko ga bisa di download secara langsung
Moch Ramdani,5,2026-05-02 18:32:43,Kenapa Image Upscaler dihilangkan padahal cukup membantu dalam proses pengeditan foto untuk menaikan kualitas atau resolusi foto. Tolong adakan kembali Aplikasi Image Upscalernya
